0000000000010000000001DP000000100002024011509302000000000000000DIRECT DEPOSIT PAYROLL         0001TELLER01
0000000000020000000002WD000000050002024011510152500000000000000000ATM WITHDRAWAL                 0002ATM00001
0000000000030000000003TF000000025002024011511001500000000000000000TRANSFER TO SAVINGS            0001ONLINE01
0000000000040000000001CHK00000015002024011511302300000000000000000CHECK #1234                    0003TELLER02
0000000000050000000004DP000000200002024011512000000000000000000000WIRE TRANSFER                  0001WIRE0001
0000000000060000000002IQ000000000002024011512150000000000000000000BALANCE INQUIRY                0002ONLINE02
0000000000070000000005FEE00000002502024011513001200000000000000000MONTHLY SERVICE FEE            0001SYSTEM01
0000000000080000000003DP000000350002024011513302100000000000000000MOBILE DEPOSIT                 0004MOBILE01
0000000000090000000001WD000000010002024011514002500000000000000000ATM WITHDRAWAL                 0005ATM00002
0000000000100000000004TF000000075002024011514150800000000000000000TRANSFER TO CHECKING           0002ONLINE03
